ID,Isi Berita,Label
1,"Lombok - Sejumlah pekerja melakukan pengecatan lintasan Sirkuit Mandalika sebagai bagian dari persiapan jelang MotoGP Indonesia yang digelar 9-11 Oktober 2026.
Sejumlah pekerja melakukan pengecatan di pinggir lintasan Sirkuit Internasional Pertamina Mandalika, Kawasan Ekonomi Khusus (KEK) Mandalika, Kuta, Praya, Lombok Tengah, Nusa Tenggara Barat (NTB), Kemarin. ANTARA FOTO/AHMAD SUBAIDI
Pekerjaan tersebut dilakukan menjelang perhelatan Pertamina Grand Prix of Indonesia atau MotoGP 2026 yang dijadwalkan berlangsung pada 9 hingga 11 Oktober 2026. Indonesia Tourism Development Corporation (ITDC) bersama Mandalika Grand Prix Association (MGPA) melakukan sejumlah penyempurnaan teknis dan operasional untuk mempersiapkan sirkuit menghadapi ajang balap motor tersebut. ANTARA FOTO/AHMAD SUBAIDI
Sejumlah fasilitas pendukung juga turut dipersiapkan untuk menunjang penyelenggaraan MotoGP 2026. Keseluruhan pekerjaan teknis dan operasional tersebut ditargetkan rampung pada 1 Oktober 2026. ANTARA FOTO/AHMAD SUBAIDI
Persiapan dilakukan untuk memastikan berbagai kebutuhan teknis dan fasilitas pendukung siap digunakan saat Pertamina Grand Prix of Indonesia 2026 berlangsung. ANTARA FOTO/AHMAD SUBAIDI",sport
2,"Nagoya - Sejumlah jurnalis beraktivitas di Main Press Center Asian Games 2026 di Port Messe Nagoya, Jepang, untuk mempersiapkan peliputan pesta olahraga Asia.
Panitia memberikan penjelesan kepada jurnalis di Main Press Center (MPC) Asian Games 2026 di Port Messe Nagoya, Aichi, Jepang, Jumat (18/9/2026). MPC menjadi salah satu pusat kegiatan media untuk mendukung peliputan pesta olahraga terbesar di Asia tersebut. ANTARA FOTO/Fauzan
Para jurnalis memanfaatkan fasilitas yang tersedia di MPC untuk mempersiapkan berbagai kebutuhan peliputan. Aktivitas tersebut mencakup pengolahan berita, koordinasi, hingga persiapan materi untuk mengabarkan perkembangan pertandingan kepada masyarakat. ANTARA FOTO/Fauzan
Asian Games Aichi-Nagoya 2026 dijadwalkan berlangsung pada 19 September hingga 4 Oktober 2026. Sejumlah pertandingan dari berbagai cabang olahraga akan digelar di sejumlah venue di wilayah Aichi dan Nagoya serta daerah sekitarnya. ANTARA FOTO/Fauzan
Keberadaan MPC menjadi bagian penting dalam mendukung kelancaran kerja media selama penyelenggaraan Asian Games 2026. Dari lokasi tersebut, jurnalis dapat menjalankan tugas peliputan dan memperoleh berbagai informasi yang dibutuhkan selama kompetisi berlangsung. ANTARA FOTO/Fauzan
Menjelang pembukaan Asian Games 2026, aktivitas di MPC Nagoya pun semakin meningkat. Para jurnalis terlihat mempersiapkan diri untuk mengikuti rangkaian pertandingan dan menyajikan informasi terkini mengenai perjuangan para atlet dari berbagai negara peserta. ANTARA FOTO/Fauzan",sport
3,"Pebalap Spanyol David Almansa jadi yang tercepat di Free Practice I Moto3 Austria 2026. Almansa mengungguli Maximo Quiles, sedangkan Veda Ega Pratama kedelapan.
FP1 Moto3 Austria berlangsung di Sirkuit Red Bull Ring pada Jumat (18/9/2026) siang WIB. Almansa menuntaskan sesi ini setelah mengemas waktu 1 menit 40,595 detik.
Veda Ega Pratama memulai dengan menempati posisi di luar 10 besar. Hakim Danish memimpin sebelum digusur Almansa.
Veda kemudian merangsek ke posisi teratas setelah menembus 1 menit 41 detik. Veda digusur Almansa lagi, sebelum Maximo Quiles merebut puncak daftar usai membukukan 1 menit 41,243 detik.
Quiles memperbaiki catatan waktunya. Almansa menembus 1 menit 40 detik sehingga berhak posisi teratas di tiga menit terakhir sesi. Veda Ega Pratama pelan-pelan menembus tujuh besar dengan selisih sedetik dari Almansa.
Namun, pada akhirnya Veda Ega menuntaskan FP1 Moto3 Austria 2026 di urutan kedelapan. Veda Ega selisih 1,184 detik dari Almansa. Quiles mengunci posisi kedua di depan Adrian Fernandez, yang melesat di detik-detik akhir sesi ini.
Hasil FP1 Moto3 Austria 2026
(rin/aff)",sport
4,"Pebalap KTM Pedro Acosta mendominasi Free Practice I MotoGP Austria 2026. Acosta tercepat, sedangkan Marc Marquez menyudahi di posisi keempat.
Sesi FP1 MotoGP Austria 2026 berlangsung di Sirkuit Red Bull Ring pada Jumat (18/9) sore WIB. Catatan waktu Acosta menembus 1 menit 29,851 detik tidak terpatahkan sampai sesi ini berakhir.
Acosta langsung menetapkan kecepatan di awal sesi. Jorge Martin merangsek ke posisi kedua setelah kembali dari pit. Sedangkan Marc Marquez ketiga.
Alex Marquez melebar ke gravel saat masuk ke tikungan 4 pada lima menit terakhir. Rider Gresini langsung masuk pit akibat mengalami kendala di fairing motornya, dan tidak melanjutkan sesi ini.
Di dua menit terakhir, Pol Espargaro yang menggantikan Maverick Vinales, merebut posisi kedua untuk menggusur Jorge Martin. Marc Marquez harus puas finis di urutan keempat di depan Johann Zarco.
Marco Bezzecchi berjarak 0,533 detik dari Acosta sehingga cuma menempati posisi ketujuh. Alex Marquez kedelapan, Diego Moreira dan Luca Marini berturut-turut melengkapi 10 besar.
Ducati merajai Red Bull Ring setelah memenangi balapan grand prix Austria pada empat edisi terakhir. Francesco Bagnaia merebut tiga kemenangan pada 2022-2024, sedangkan tahun lalu dimenangi Marc Marquez.
Hasil FP1 MotoGP Austria 2026
| Pos | Rider | Nat | Team | Time/Diff | 
| 1 | Pedro Acosta | SPA | Red Bull KTM (RC16) | 1'29.851s | 
| 2 | Pol Espargaro | SPA | Red Bull KTM Tech3 (RC16) | +0.233s | 
| 3 | Jorge Martin | SPA | Aprilia Racing (RS-GP26) | +0.308s | 
| 4 | Marc Marquez | SPA | Ducati Lenovo (GP26) | +0.335s | 
| 5 | Johann Zarco | FRA | Castrol Honda LCR (RC213V) | +0.513s | 
| 6 | Marco Bezzecchi | ITA | Aprilia Racing (RS-GP26) | +0.533s | 
| 7 | Raul Fernandez | SPA | Trackhouse Aprilia (RS-GP26) | +0.566s | 
| 8 | Alex Marquez | SPA | BK8 Gresini Ducati (GP26) | +0.631s | 
| 9 | Diogo Moreira | BRA | Pro Honda LCR (RC213V)* | +0.669s | 
| 10 | Luca Marini | ITA | Honda HRC Castrol (RC213V) | +0.680s | 
| 11 | Fermin Aldeguer | SPA | BK8 Gresini Ducati (GP25) | +0.709s | 
| 12 | Fabio Di Giannantonio | ITA | Pertamina VR46 Ducati (GP26) | +0.800s | 
| 13 | Jack Miller | AUS | Pramac Yamaha (YZR-M1) | +0.843s | 
| 14 | Brad Binder | RSA | Red Bull KTM (RC16) | +0.861s | 
| 15 | Fabio Quartararo | FRA | Monster Yamaha (YZR-M1) | +0.921s | 
| 16 | Franco Morbidelli | ITA | Pertamina VR46 Ducati (GP25) | +0.997s | 
| 17 | Enea Bastianini | ITA | Red Bull KTM Tech3 (RC16) | +1.010s | 
| 18 | Francesco Bagnaia | ITA | Ducati Lenovo (GP26) | +1.122s | 
| 19 | Ai Ogura | JPN | Trackhouse Aprilia (RS-GP26) | +1.404s | 
| 20 | Takaaki Nakagami | JPN | Honda Test Rider (RC213V) | +1.438s | 
| 21 | Alex Rins | SPA | Monster Yamaha (YZR-M1) | +1.487s | 
| 22 | Toprak Razgatlioglu | TUR | Pramac Yamaha (YZR-M1)* | +2.512s | 
(rin/nds)",sport
5,"Rider Spanyol David Almansa kembali jadi yang tercepat di sesi Practice Moto3 Austria 2026. Sementara itu, Veda Ega Pratama harus puas berada di urutan ke-18.
Sesi practice Moto3 Austria digelar di Red Bull Ring, Jumat (18/9/2026) malam WIB. Almansa yang dominan mengakhiri sesi ini dengan catatan waktu 1 menit 39,668 detik.
Almansa mengungguli Maximo Quiles. Almansa dan Quiles menjadi dua pebalap yang menembus 1 menit 39 detik di sesi ini.
Sementara itu, posisi Veda Ega justru terus melorot menjelang akhir sesi practice. Sempat berada di posisi ke-10, Veda Ega pada akhirnya menuntaskan sesi practice di urutan ke-18.
Catatan waktu Veda Ega di sesi practice kali ini 1 menit 40,773 detik. Catatan tersebut sedikit lebih baik dari free practice 1 di mana Veda Ega menuntaskan sesi tersebut dengan catatan waktu 1 menit 41,779 detik.
Hasil Practice Moto3 Austria 2026
#Moto3 Practice in the books! 📚@DavidAlmansa22 edges out Maximo Quiles on Friday at Spielberg 🔥#AustrianGP 🇦🇹 pic.twitter.com/6NHmOpUKbX
— MotoGP™🏁 (@MotoGP) September 18, 2026
(nds/aff)",sport
6,"Rider KTM Pedro Acosta melanjutkan dominasinya dengan menguasai sesi Practice MotoGP Austria 2026. Acosta mengungguli Fermin Aldeguer, Ai Ogura, dan Marc Marquez.
Acosta mengawali sesi ini dengan mencatatkan waktu terbaik 1 menit 28,840 detik. Ia unggul 0,4 detik atas Fabio Quartararo.
Acosta cukup konsisten menjaga catatan waktu terbaiknya. Sementara itu, sejumlah pebalap bergantian mengisi posisi kedua.
Marco Bezzecchi sempat mengawali sesi ini dengan menempati posisi kedua. Sementara itu, Marc Marquez sempat kesulitan dan hanya menduduki urutan keenam.
Luca Marini memperbaiki catatan waktunya untuk membuntuti Acosta dengan selisih 0,485 detik. Beberapa waktu kemudian, Marc Marquez mampu menyodok ke posisi kedua.
Sesi practice sempat diwarnai red flag usai Alex Marquez mengalami crash. Setelah dihentikan selama beberapa menit, sesi ini kembali dilanjutkan dengan sisa waktu 11 menit 42 detik.
Acosta pada akhirnya mampu mempertahankan posisinya. Ia diikuti oleh Fermin Aldeguer yang menembus posisi kedua di saat-saat terakhir.
Ai Ogura menempati posisi ketiga di depan Marc Marquez. Jorge Martin melengkapi posisi lima besar.
Hasil Practice MotoGP Austria 2026
| Pos | Rider | Nat | Team | Time/Diff | 
| 1 | Pedro Acosta | SPA | Red Bull KTM (RC16) | 1'28.381s | 
| 2 | Fermin Aldeguer | SPA | BK8 Gresini Ducati (GP25) | +0.127s | 
| 3 | Ai Ogura | JPN | Trackhouse Aprilia (RS-GP26) | +0.187s | 
| 4 | Marc Marquez | SPA | Ducati Lenovo (GP26) | +0.204s | 
| 5 | Jorge Martin | SPA | Aprilia Racing (RS-GP26) | +0.222s | 
| 6 | Fabio Di Giannantonio | ITA | Pertamina VR46 Ducati (GP26) | +0.252s | 
| 7 | Brad Binder | RSA | Red Bull KTM (RC16) | +0.269s | 
| 8 | Alex Marquez | SPA | BK8 Gresini Ducati (GP26) | +0.321s | 
| 9 | Marco Bezzecchi | ITA | Aprilia Racing (RS-GP26) | +0.430s | 
| 10 | Fabio Quartararo | FRA | Monster Yamaha (YZR-M1) | +0.436s | 
| 11 | Luca Marini | ITA | Honda HRC Castrol (RC213V) | +0.440s | 
| 12 | Johann Zarco | FRA | Castrol Honda LCR (RC213V) | +0.484s | 
| 13 | Diogo Moreira | BRA | Pro Honda LCR (RC213V)* | +0.558s | 
| 14 | Enea Bastianini | ITA | Red Bull KTM Tech3 (RC16) | +0.680s | 
| 15 | Pol Espargaro | SPA | Red Bull KTM Tech3 (RC16) | +0.710s | 
| 16 | Alex Rins | SPA | Monster Yamaha (YZR-M1) | +0.720s | 
| 17 | Franco Morbidelli | ITA | Pertamina VR46 Ducati (GP25) | +0.810s | 
| 18 | Francesco Bagnaia | ITA | Ducati Lenovo (GP26) | +0.885s | 
| 19 | Raul Fernandez | SPA | Trackhouse Aprilia (RS-GP26) | +0.949s | 
| 20 | Takaaki Nakagami | JPN | Honda Test Rider (RC213V) | +1.215s | 
| 21 | Jack Miller | AUS | Pramac Yamaha (YZR-M1) | +1.568s | 
| 22 | Toprak Razgatlioglu | TUR | Pramac Yamaha (YZR-M1)* | +1.601s | 
(nds/nds)",sport
7,"Asian Games 2026 cabang olahraga bulutangkis dipertandingkan tanggal 20-24 September (beregu) dan 25-29 September (perorangan). Pertandingan berlokasi di Ichinomiya City Municipal Gymnasium.
Muhammad Shohibul Fikri dan kawan-kawan berlatih selama 60 menit untuk memetakan situasi dan kondisi lapangan.Dengan telah menjalani pemusatan latihan sebelumnya, tim langsung tancap gas dalam latihan pagi tadi.
""Kendala di latihan tadi sebenarnya tidak ada. Hanya saat pertama datang lapangan terasa ada angin dari pendingin ruangan tapi di tengah-tengah latihan pendingin ruangannya dimatikan. Jadi belum tahu nanti pertandingan apakah menggunakan pendingin ruangan atau tidak,"" kata Fikri dalam keterangan tertulis, Jumat (18/9/2026).
""Besok ada sesi test court terakhir, saya harus memaksimalkan lagi segi teknik, penyesuaian arah angin dan pencahayaan,"" lanjut Fikri.
Menjalani debut di pesta olahraga terbesar di Asia, Fikri antusias dan berharap meraih medali emas.
""Kesan pertama cukup excited karena ini Asian Games pertama jadi tadi juga di lapangan saya sangat bersemangat untuk kasih yang terbaik,"" ucap Fikri.
""Pastinya saya hanya ingin memberikan yang terbaik untuk tim dan perorangan, semoga bisa menyumbang medali emas,"" harapnya.
| Baca juga: Ana/Trias Fokus Medali di Asian Games 2026 | 
Sementara bagi Putri Kusuma Wardani, arena yang berada jauh dari perkotaan ini memberikan kesan yang tidak diduga.
""Arena ini walaupun seperti di desa pelosok tapi dalamnya cukup baik, bagus dan rapi juga. Memang kapasitasnya cukup kecil tapi secara fasilitas memadai,"" kata Putri.
Undian nomor beregu akan digelar hari Sabtu (19/9) pagi mulai pukul 10.00 waktu setempat.    
    
    (mcy/aff)",sport
8,"Indonesia tertinggal dari Rumania setelah Gunawan Trismuwantara takluk dari Cezar Cretu di laga perdana Grup 2 Dunia Piala Davis 2026. Indonesia tertinggal sementara 0-1.
Bertanding di Stadion Tenis GBK, pada Jumat (18/9/2026), Gunawan harus mengakui permainan Cezar Cretu dengan skor 2-6, 4-6.
Gunawan dengan ranking 2202 ATP mengaku kesulitan melawan pemain berkelas Cezar Cretu.
""Ya saya sudah berjuang maksimal cuma lawannya beda kelas. Jadi saya hanya berusaha main maksimal tapi hasil belum memuaskan buat Indonesia,"" kata Gunawan seusai laga.
Atlet tenis berusia 23 tahun ini sadar betul kemenangan di laga pertama menjadi hal penting bagi timnya. Namun, ia sudah berusaha untuk mengimbangi lawan, meski hasilnya masih belum memuaskan.
""Pasti sangat beban (pemain pertama) apalagi match pertama itu kan penting untuk tim Indonesia karena itu single, main sendiri juga, jadi main pertama jadi memang main pertama harus bisa dapatkan poin seharusnya. Tapi saya belum bisa memberikan hasil itu untuk Indonesia,"" ujarnya.
Gunawan dijadwalkan main lagi pada hari kedua penyelenggaraan Davis Cup. Ia akan tampil di match kelima, jika mampu mengejar Rumania.
""Untuk besok kira lihat kondisi. Saya recovery dulu karena tadi sedikit kambuh (cedera pergelangan tangan) saat menerima serve (lawan) yang cukup kencang,"" ujarnya.
Sementara itu, Sekretaris Jenderal PP Pelti Andi Fajar Asti mengatakan bahwa Gunawan sudah memberikan yang terbaik. Namun, atletnya banyak mati sendiri.
""Jadi bukan lawannya yang spesial menurut saya. Tetapi memang (atlet) kita masih banyak yang error. Saya kira ini tidak menjadi sebuah kesalahan. Artinya apa, kita pasti bisa mengimbangkan lawan Rumania,"" ujar Andi.
""Ke depan, saya akan koordinasi dengan coach, seperti apa formulasi yang akan kita turunkan besok. Khususnya nomor tunggal, soalnya saya melihat ada kondisi fisik dari Gunawan yang sedikit terganggu, sehingga ini tentu akan menjadi evaluasi bagi kita, apakah kita menurunkan tunggal ketiga kita,"" katanya.
""Apakah tetap Gunawan atau siapa, tentu semua pemain harus siap turun di laga besok. Ya, kita menunggu perkembangan malam ini. Kami akan menanyakan ke pemain sendiri terkait dengan kondisi saat ini,"" tegas Andi.
(mcy/aff)",sport
9,"Legenda bulutangkis Indonesia, Ricky Soebagdja, memantau perhelatan Campus League Badminton Regional Bandung. Ricky menyebut para peserta punya semangat yang tinggi.
Campus League Regional Bandung berakhir, Jumat (18/9/2026). Perhelatan digelar di GOR Bandung, Jawa Barat.
""GOR Bandung tempat bersejarah karena saat muda saya juga berlatih badminton di sini. Kedua, beberapa match saya menonton. Luar biasa performa para student-athlete,"" kata Sekretaris Jenderal PP PBSI, Ricky Soebagdja, dalam rilis yang diterima detikSport.
""Mereka memanfaatkan kesempatan ini. Jatuh bangun di lapangan, semangat, dan motivasi mereka tinggi. Poin 55, kekompakan tim kampus terlihat, ini sangat baik untuk student-athlete menunjukkan skill terbaik mereka,"" pria peraih medali emas Olimpiade 1996 di sektor ganda putra itu menambahkan.
Universitas Bina Nusantara (BINUS)Jakarta menjadi juara di kategori beregu usai mengalahkan Universitas Negeri Jakarta (UNJ) di di final. Universitas Budi Luhur (UBL) Jakarta meraih tempat ketiga dengan mengalahkan Universitas Gunadarma Depok.
Pada kategori individu tunggal putra, Nopriansyah Adi Gunawan dari Universitas Bhayangkara Jakarta Raya, Bekasi, menjadi juaranya. Maria Veronica Ngadien Prawesti dari Universitas Padjadjaran sebagai juara di tunggal putri.
Juara ganda putra diraih oleh Fajar Putra Setiawan/Ridho Ma'sum Firdaus dari Universitas Komputer. Alya Ardelia/Shofi Aprilia Argyanti dari UBL Jakarta sebagai juara ganda putri.
Muhammad Halim As Sidiq/Citra Murdiningrum Surono dari UNJ menyabet juara ganda campuran. Untuk kategori 3v3 dimenangkan oleh Agnia Sri Rahayu/Rangga Arda Rheta/Deandra Ikhsan Gunawan dari STKIP Pasundan Cimahi.
Para pemenang Regional Bandung dan Semarang akan beradu di Campus League Badminton The Nationals. Perhelatan digelar di GOR Bandung Jawa Barat, mulai 21 sampai 25 September 2026.
(ran/nds)",sport
10,"Pada perempatfinal nomor beregu putra yang berlangsung di di Higashiyama Park Tennis Center, Nagoya, Jumat (18/9/2026), Indonesia menyingkirkan India dengan skor 2-0.
Dengan demikian, Indonesia dipastikan ada di zona medali, alias minimal membawa pulang medali perunggu. Namun, pencapaian tersebut belum membuat perjuangan tim putra berakhir karena mereka masih ingin melaju ke final.
Perjalanan Indonesia menuju semifinal diawali dengan kemenangan meyakinkan atas Nepal pada fase penyisihan Pool B. Tim Merah Putih menang telak 3-0.
Pada partai ganda pertama, Tio Hutauruk/Fernando Sanger tampil dominan dengan mengalahkan pasangan Khatri/Pandey 5-0. Bagus Pradewa kemudian memperkuat keunggulan Indonesia setelah menundukkan Bhandari 4-0 pada nomor tunggal putra (TPA). Satu kemenangan lainnya diperoleh melalui walkover (WO).
Indonesia kemudian menghadapi Korea. Dalam pertandingan tersebut, Merah Putih harus mengakui keunggulan lawan dengan skor 1-2.
Rizky Zammy/Reza F kalah dari Kim H/Lee H dengan skor 2-5 pada ganda pertama. Bagus Pradewa juga belum mampu membendung Kim J dan menyerah 0-4 pada nomor tunggal putra.
Indonesia kemudian memperkecil ketertinggalan melalui pasangan Tio Hutauruk/Fernando Sanger. Keduanya mengalahkan Lee H/Park J dengan skor 3-2 sebelum pertandingan berakhir setelah pasangan Korea mengalami retired.
Hasil tersebut membawa Indonesia melaju ke perempat final untuk menghadapi India.
Menghadapi laga penentuan, para pemain Indonesia menunjukkan karakter dan ketenangan dalam pertandingan. Tio Hutauruk/Fernando Sanger membuka jalan dengan mengalahkan pasangan India Meena Jay/Choudary 5-2.
Bagus Pradewa kemudian memastikan kemenangan Indonesia setelah melewati pertarungan ketat menghadapi Thakur. Bagus akhirnya mengamankan kemenangan melalui tie-break dengan skor 4(7)-3(2).
Dengan dua kemenangan tersebut, Indonesia memastikan keunggulan 2-0 atas India sekaligus mengunci tiket semifinal.
Pelatih tim putra Indonesia, Prima Simpatiaji, mengapresiasi perjuangan seluruh pemain yang mampu menjaga fokus dan semangat sepanjang fase penyisihan hingga perempat final.
""Target awal sudah kami capai dengan masuk semifinal dan memastikan medali. Tetapi pertandingan belum selesai. Kami ingin para pemain tetap fokus, menjaga kondisi dan bermain maksimal pada semifinal,"" ujar Prima.
Prima menilai kemenangan atas India menjadi bukti bahwa para pemain mampu menjaga disiplin permainan sekaligus mempertahankan mental bertanding dalam situasi yang menentukan.
""Yang paling penting sekarang adalah recovery, menjaga konsentrasi dan mempersiapkan strategi menghadapi Jepang. Kami akan berusaha memberikan yang terbaik,"" katanya.
    
    
    (mrp/bay)",sport
